date	Downlod	Upload
20181202-111001 	  10.08 Mbit/s 	  2.00 Mbit/s
20181202-111501 	  10.01 Mbit/s 	  2.03 Mbit/s
20181202-112001 	  6.08 Mbit/s 	  2.04 Mbit/s
20181202-112501 	  10.77 Mbit/s 	  2.08 Mbit/s
20181202-113001 	  10.98 Mbit/s 	  2.10 Mbit/s
20181202-113501 	  10.73 Mbit/s 	  2.03 Mbit/s
20181202-114001 	  11.22 Mbit/s 	  2.01 Mbit/s
20181202-114501 	  7.97 Mbit/s 	  2.02 Mbit/s
20181202-115001 	  10.65 Mbit/s 	  2.04 Mbit/s
20181202-115501 	  10.32 Mbit/s 	  1.99 Mbit/s
20181202-120001 	  10.62 Mbit/s 	  1.99 Mbit/s
20181202-120501 	  10.63 Mbit/s 	  1.98 Mbit/s
20181202-121001 	  10.60 Mbit/s 	  2.04 Mbit/s
20181202-121501 	  10.53 Mbit/s 	  1.98 Mbit/s
20181202-122001 	  9.86 Mbit/s 	  2.11 Mbit/s
20181202-122501 	  10.27 Mbit/s 	  2.00 Mbit/s
20181202-123001 	  9.27 Mbit/s 	  2.02 Mbit/s
20181202-123501 	  9.43 Mbit/s 	  1.97 Mbit/s
20181202-124001 	  10.86 Mbit/s 	  2.14 Mbit/s
20181202-124501 	  10.82 Mbit/s 	  2.04 Mbit/s
20181202-125001 	  10.96 Mbit/s 	  2.03 Mbit/s
20181202-125501 	  5.78 Mbit/s 	  1.04 Mbit/s
20181202-130001 	  9.65 Mbit/s 	  1.87 Mbit/s
20181202-130501 	  5.55 Mbit/s 	  0.76 Mbit/s
20181202-131001 	  4.01 Mbit/s 	  0.77 Mbit/s
20181202-131501 	  3.53 Mbit/s 	  0.73 Mbit/s
20181202-132001 	  10.73 Mbit/s 	  2.00 Mbit/s
20181202-132501 	  6.20 Mbit/s 	  1.56 Mbit/s
20181202-133001 	  4.66 Mbit/s 	  0.48 Mbit/s
20181202-133501 	  5.44 Mbit/s 	  0.67 Mbit/s
20181202-134001 	  5.28 Mbit/s 	  0.66 Mbit/s
20181202-134502 	  7.69 Mbit/s 	  2.02 Mbit/s
20181202-135002 	  4.68 Mbit/s 	  0.66 Mbit/s
20181202-135501 	  4.76 Mbit/s 	  0.62 Mbit/s
20181202-140001 	  10.84 Mbit/s 	  1.99 Mbit/s
20181202-140501 	  6.75 Mbit/s 	  0.97 Mbit/s
20181202-141002 	  4.66 Mbit/s 	  0.56 Mbit/s
20181202-141501 	  3.95 Mbit/s 	  0.64 Mbit/s
20181202-142002 	  4.37 Mbit/s 	  0.68 Mbit/s
20181202-142501 	  8.88 Mbit/s 	  0.50 Mbit/s
20181202-143001 	  5.06 Mbit/s 	  1.35 Mbit/s
20181202-143501 	  8.26 Mbit/s 	  2.05 Mbit/s
20181202-144001 	  4.04 Mbit/s 	  0.68 Mbit/s
20181202-144501 	  4.16 Mbit/s 	  1.44 Mbit/s
20181202-145001 	  6.24 Mbit/s 	  0.70 Mbit/s
20181202-145501 	  6.51 Mbit/s 	  1.50 Mbit/s
20181202-150001 	  4.88 Mbit/s 	  1.12 Mbit/s
20181202-150501 	  3.99 Mbit/s 	  0.43 Mbit/s
20181202-151002 	  6.14 Mbit/s 	  1.07 Mbit/s
20181202-151501 	  4.27 Mbit/s 	  0.65 Mbit/s
20181202-152001 	  4.09 Mbit/s 	  1.23 Mbit/s
20181202-152501 	  3.52 Mbit/s 	  0.32 Mbit/s
20181202-153001 	  3.84 Mbit/s 	  1.07 Mbit/s
20181202-153501 	  3.44 Mbit/s 	  0.93 Mbit/s
20181202-154001 	  5.00 Mbit/s 	  1.30 Mbit/s
20181202-154501 	  5.19 Mbit/s 	  1.02 Mbit/s
20181202-155001 	  3.52 Mbit/s 	  0.56 Mbit/s
20181202-155501 	  3.64 Mbit/s 	  0.81 Mbit/s
20181202-160001 	  7.76 Mbit/s 	  2.00 Mbit/s
20181202-160501 	  7.06 Mbit/s 	  0.32 Mbit/s
20181202-161001 	  7.94 Mbit/s 	  2.00 Mbit/s
20181202-161501 	  4.90 Mbit/s 	  1.58 Mbit/s
20181202-162001 	  4.27 Mbit/s 	  0.75 Mbit/s
20181202-162501 	  4.04 Mbit/s 	  0.43 Mbit/s
20181202-163001 	  4.39 Mbit/s 	  0.64 Mbit/s
20181202-163501 	  3.70 Mbit/s 	  0.40 Mbit/s
20181202-164001 	  6.86 Mbit/s 	  2.01 Mbit/s
20181202-164501 	  4.08 Mbit/s 	  0.66 Mbit/s
20181202-165001 	  5.69 Mbit/s 	  2.03 Mbit/s
20181202-165501 	  4.41 Mbit/s 	  1.06 Mbit/s
20181202-170001 	  8.56 Mbit/s 	  2.06 Mbit/s
20181202-170501 	  8.79 Mbit/s 	  2.06 Mbit/s
20181202-171001 	  4.56 Mbit/s 	  0.55 Mbit/s
20181202-171501 	  3.85 Mbit/s 	  2.08 Mbit/s
20181202-172001 	  4.25 Mbit/s 	  1.42 Mbit/s
20181202-172501 	  6.98 Mbit/s 	  1.67 Mbit/s
20181202-173001 	  6.29 Mbit/s 	  1.01 Mbit/s
20181202-173501 	  8.59 Mbit/s 	  0.45 Mbit/s
20181202-174001 	  4.74 Mbit/s 	  1.33 Mbit/s
20181202-174501 	  6.56 Mbit/s 	  1.61 Mbit/s
20181202-175002 	  5.66 Mbit/s 	  2.07 Mbit/s
20181202-175501 	  5.86 Mbit/s 	  0.61 Mbit/s
20181202-180001 	  4.41 Mbit/s 	  0.56 Mbit/s
20181202-180501 	  5.42 Mbit/s 	  0.74 Mbit/s
20181202-181002 	  4.58 Mbit/s 	  0.72 Mbit/s
20181202-181501 	  3.55 Mbit/s 	  0.85 Mbit/s
20181202-182001 	  7.51 Mbit/s 	  0.52 Mbit/s
20181202-182501 	  5.59 Mbit/s 	  1.48 Mbit/s
20181202-183002 	  4.71 Mbit/s 	  1.32 Mbit/s
20181202-183501 	  6.27 Mbit/s 	  0.34 Mbit/s
20181202-184001 	  6.05 Mbit/s 	  1.07 Mbit/s
20181202-184501 	  7.23 Mbit/s 	  2.07 Mbit/s
20181202-185001 	  6.05 Mbit/s 	  1.09 Mbit/s
20181202-185501 	  5.53 Mbit/s 	  0.56 Mbit/s
20181202-190001 	  9.99 Mbit/s 	  2.06 Mbit/s
20181202-190502 	  7.15 Mbit/s 	  2.05 Mbit/s
20181202-191001 	  4.37 Mbit/s 	  1.37 Mbit/s
20181202-191501 	  4.05 Mbit/s 	  0.30 Mbit/s
20181202-192001 	  6.11 Mbit/s 	  1.83 Mbit/s
20181202-192501 	  5.82 Mbit/s 	  1.35 Mbit/s
20181202-193001 	  4.51 Mbit/s 	  1.36 Mbit/s
20181202-193501 	  4.36 Mbit/s 	  0.38 Mbit/s
20181202-194001 	  8.63 Mbit/s 	  1.91 Mbit/s
20181202-194501 	  8.16 Mbit/s 	  2.07 Mbit/s
20181202-195001 	  4.41 Mbit/s 	  0.94 Mbit/s
20181202-195501 	  10.98 Mbit/s 	  2.09 Mbit/s
20181202-200001 	  4.65 Mbit/s 	  0.59 Mbit/s
20181202-200501 	  3.85 Mbit/s 	  0.31 Mbit/s
20181202-201001 	  4.50 Mbit/s 	  0.49 Mbit/s
20181202-201501 	  4.13 Mbit/s 	  1.11 Mbit/s
20181202-202001 	  5.52 Mbit/s 	  0.77 Mbit/s
20181202-202501 	  3.39 Mbit/s 	  0.94 Mbit/s
20181202-203001 	  9.63 Mbit/s 	  2.00 Mbit/s
20181202-203501 	  3.93 Mbit/s 	  0.60 Mbit/s
20181202-204001 	  6.15 Mbit/s 	  1.52 Mbit/s
20181202-204501 	  6.83 Mbit/s 	  1.60 Mbit/s
20181202-205002 	  3.90 Mbit/s 	  0.67 Mbit/s
20181202-205501 	  10.31 Mbit/s 	  2.04 Mbit/s
20181202-210001 	  4.34 Mbit/s 	  0.90 Mbit/s
20181202-210502 	  3.59 Mbit/s 	  0.59 Mbit/s
20181202-211002 	  4.06 Mbit/s 	  0.31 Mbit/s
20181202-211501 	  3.67 Mbit/s 	  0.81 Mbit/s
20181202-212001 	  8.19 Mbit/s 	  2.00 Mbit/s
20181202-212502 	  9.97 Mbit/s 	  2.05 Mbit/s
20181202-213001 	  5.79 Mbit/s 	  0.62 Mbit/s
20181202-213501 	  8.04 Mbit/s 	  2.01 Mbit/s
20181202-214001 	  5.78 Mbit/s 	  1.04 Mbit/s
20181202-214501 	  4.15 Mbit/s 	  0.80 Mbit/s
20181202-215001 	  4.11 Mbit/s 	  0.37 Mbit/s
20181202-215501 	  3.76 Mbit/s 	  0.52 Mbit/s
20181202-220001 	  3.98 Mbit/s 	  0.51 Mbit/s
20181202-220501 	  9.23 Mbit/s 	  1.94 Mbit/s
20181202-221001 	  4.12 Mbit/s 	  0.99 Mbit/s
20181202-221502 	  5.57 Mbit/s 	  1.03 Mbit/s
20181202-222002 	  5.20 Mbit/s 	  0.66 Mbit/s
20181202-222501 	  3.05 Mbit/s 	  1.67 Mbit/s
20181202-223001 	  10.57 Mbit/s 	  2.11 Mbit/s
20181202-223501 	  4.86 Mbit/s 	  0.97 Mbit/s
20181202-224001 	  10.46 Mbit/s 	  1.92 Mbit/s
20181202-224501 	  3.10 Mbit/s 	  1.81 Mbit/s
20181202-225001 	  5.75 Mbit/s 	  0.49 Mbit/s
20181202-225501 	  5.46 Mbit/s 	  0.55 Mbit/s
20181202-230001 	  4.99 Mbit/s 	  1.50 Mbit/s
20181202-230501 	  3.11 Mbit/s 	  0.65 Mbit/s
20181202-231001 	  3.90 Mbit/s 	  0.73 Mbit/s
20181202-231501 	  3.60 Mbit/s 	  0.48 Mbit/s
20181202-232002 	  6.13 Mbit/s 	  1.72 Mbit/s
20181202-232501 	  3.89 Mbit/s 	  0.87 Mbit/s
20181202-233001 	  4.99 Mbit/s 	  0.88 Mbit/s
20181202-233501 	  8.42 Mbit/s 	  2.01 Mbit/s
20181202-234002 	  5.71 Mbit/s 	  1.91 Mbit/s
20181202-234501 	  4.76 Mbit/s 	  0.76 Mbit/s
20181202-235001 	  5.91 Mbit/s 	  2.01 Mbit/s
20181202-235501 	  9.04 Mbit/s 	  2.06 Mbit/s
